Technologies,Renewable,Dispatchable,Fuel,Efficiency,CarbonContent,FixedCost,OperationMaintainance,VariableCost,OvernightCost,Lifetime,MaxInstallable,MaxEnergy,FuelCost,Color,MinEnergy
pv,1,0,Solar PV,1,0,13307,0,0,665384,25,500,-1,0,yellow,0
wind_onshore,1,0,Wind Onshore,1,0,52097,0,0,1736581,25,500,-1,0,lightblue,0
installed_renewables,1,0,solar,1,0,6375,0,0,0,25,0.05245672987901999,82.440,0,lightgreen,82.440
