Storages,MarginalCost,Efficiency,FixedCost,OvernightCostEnergy,OvernightCostPower,Lifetime,MaxEnergy,MaxPower,Color
Li-Ion,1.3,0.9,5397,180000,120000,12,-1,-1,lightgrey
PumpedHydro,0.5,0.9,10000,10000,3000000,60,80000,12,darkblue
