Technologies,Renewable,Dispatchable,Fuel,Efficiency,CarbonContent,FixedCost,OperationMaintainance,VariableCost,OvernightCost,Lifetime,MaxInstallable,MaxEnergy,FuelCost,Color
oil,0,1,Oil,0.4,0.266,6960,0,0,400000,25,-1,-1,53,black
pv,1,0,Solar PV,1,0,6375,0,0,583900,25,500,-1,0,yellow
wind_onshore,1,0,Wind Onshore,1,0,21500,0,0,1637692,25,0.1,-1,0,lightblue
