Storages,MarginalCost,Efficiency,FixedCost,OvernightCostEnergy,OvernightCostPower,Lifetime,MaxEnergy,MaxPower,Color
Li-Ion,1.3,0.9,5397,200000,153000,12,-1,-1,lightgrey
PumpedHydro,0.5,0.8,10000,10000,2000000,60,80000,12,darkblue
