Storages,MarginalCost,Efficiency,FixedCost,OvernightCostEnergy,OvernightCostPower,Lifetime,MaxEnergy,MaxPower,Color
Li-Ion,1.3,0.9,5397,180000,0,12,-1,-1,lightgrey
PumpedHydro,0.5,0.8,10000,10000,0,60,80000,12,darkblue
