wind_onshore,pv,load,installed_renewables
0.913,0,0.1035205479,0
0.914,0,0.09881506849,0
0.907,0,0.09222739726,0
0.897,0,0.07716986301,0
0.891,0,0.06681780822,0
0.879,0,0.06399452055,0
0.861,0,0.06023013699,0
0.858,0,0.05834794521,0
0.854,0,0.05740684932,0
0.850,0,0.0592890411,0
0.843,0,0.06587671233,0
0.834,0.055,0.06964109589,0.055
0.859,0.281,0.07434657534,0.281
0.880,0.486,0.07622876712,0.486
0.889,0.637,0.07905205479,0.637
0.886,0.724,0.08469863014,0.724
0.885,0.760,0.08658082192,0.760
0.886,0.751,0.08658082192,0.751
0.887,0.698,0.08752191781,0.698
0.892,0.592,0.08469863014,0.592
0.895,0.428,0.08281643836,0.428
0.896,0.200,0.08281643836,0.200
0.876,0.004,0.08469863014,0.004
0.871,0,0.09881506849,0
0.889,0,0.1035205479,0
0.890,0,0.09881506849,0
0.882,0,0.09222739726,0
0.884,0,0.07716986301,0
0.889,0,0.06681780822,0
0.883,0,0.06399452055,0
0.883,0,0.06023013699,0
0.870,0,0.05834794521,0
0.857,0,0.05740684932,0
0.834,0,0.0592890411,0
0.799,0,0.06587671233,0
0.770,0.065,0.06964109589,0.065
0.803,0.279,0.07434657534,0.279
0.851,0.489,0.07622876712,0.489
0.874,0.637,0.07905205479,0.637
0.885,0.742,0.08469863014,0.742
0.885,0.776,0.08658082192,0.776
0.885,0.765,0.08658082192,0.765
0.893,0.708,0.08752191781,0.708
0.907,0.602,0.08469863014,0.602
0.921,0.440,0.08281643836,0.440
0.929,0.213,0.08281643836,0.213
0.930,0.005,0.08469863014,0.005
0.937,0,0.09881506849,0
0.947,0,0.1035205479,0
0.950,0,0.09881506849,0
0.944,0,0.09222739726,0
0.930,0,0.07716986301,0
0.904,0,0.06681780822,0
0.865,0,0.06399452055,0
0.814,0,0.06023013699,0
0.785,0,0.05834794521,0
0.789,0,0.05740684932,0
0.815,0,0.0592890411,0
0.841,0,0.06587671233,0
0.865,0.078,0.06964109589,0.078
0.881,0.315,0.07434657534,0.315
0.875,0.519,0.07622876712,0.519
0.849,0.676,0.07905205479,0.676
0.812,0.753,0.08469863014,0.753
0.773,0.782,0.08658082192,0.782
0.739,0.764,0.08658082192,0.764
0.719,0.694,0.08752191781,0.694
0.733,0.570,0.08469863014,0.570
0.785,0.393,0.08281643836,0.393
0.831,0.169,0.08281643836,0.169
0.829,0.004,0.08469863014,0.004
0.821,0,0.09881506849,0
0.808,0,0.1035205479,0
0.761,0,0.09881506849,0
